UID          PID    PPID  C STIME TTY          TIME CMD
champus+   25918   25640  0 Nov05 ?        00:00:09 /usr/libexec/evolution-data-server/evolution-alarm-notify
champus+   25956     626  0 Nov05 ?        00:00:00 /usr/libexec/gsd-printer
champus+   26005     626  0 Nov05 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
champus+   26019     626  0 Nov05 ?        00:00:11 /usr/libexec/tracker-miner-fs-3
champus+   26114     626  0 Nov05 ?        00:00:00 /usr/libexec/gvfsd-metadata
champus+   26120   25640  0 Nov05 ?        00:01:59 update-notifier
champus+   26573     626  0 Nov05 ?        03:44:26 /usr/bin/snap userd
root       65161       1  0 Nov09 ?        00:03:50 /usr/lib/snapd/snapd
root      166693       1  0 00:00 ?        00:00:00 /usr/sbin/cupsd -l
root      166696       1  0 00:00 ?        00:00:00 /usr/sbin/cups-browsed
champus+  170453     626  0 20:07 ?        00:00:00 /usr/bin/seahorse --gapplication-service
champus+  170468     952  0 20:07 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.13 /org/gtk/gvfs/exec_spaw/0
champus+  170604     626  0 20:10 ?        00:00:41 /usr/libexec/gnome-terminal-server
champus+  170688  170604  0 20:10 pts/0    00:00:00 bash
root      171443       2  0 20:13 ?        00:00:00 [kworker/R-tls-s]
root      171587       2  0 20:17 ?        00:00:00 [kworker/1:2-cgroup_destroy]
root      171589       1  0 20:17 ?        00:00:00 /sbin/auditd
root      171611       2  0 20:17 ?        00:00:00 [audit_prune_tree]
root      171684       1  0 20:18 ?        00:00:00 python3 /usr/lib/software-properties/software-properties-dbus
root      171839       1  0 20:18 ?        00:00:00 /usr/libexec/ubuntu-advantage-desktop-daemon
champus+  172144  170604  0 20:24 pts/2    00:00:00 bash
root      172255     626  0 20:25 ?        00:00:00 nc -l -k -p 4444
root      172258     626  0 20:25 ?        00:00:00 nc -l -k -p 8888
root      172261     626  0 20:25 ?        00:00:00 nc -l -k -p 31337
root      172341     626  0 20:25 ?        00:00:00 /bin/bash /opt/updater/suspicious_updater.sh
root      172342     626  0 20:25 ?        00:00:00 /bin/bash /opt/collector/data_collector.sh
root      173037       2  0 20:57 ?        00:00:00 [kworker/u4:0-ext4-rsv-conversion]
root      173100       2  0 21:07 ?        00:00:00 [kworker/u5:1-events_power_efficient]
root      173149       2  0 21:14 ?        00:00:00 [kworker/1:1-events]
root      173249       2  0 21:30 ?        00:00:00 [kworker/u5:2-events_power_efficient]
root      173339       2  0 21:43 ?        00:00:00 [kworker/u6:1-flush-8:0]
champus+  173366  170604  0 21:47 pts/3    00:00:00 bash
root      173405       2  0 21:50 ?        00:00:00 [kworker/u6:0-flush-8:0]
champus+  173735     952  0 21:58 ?        00:00:00 /usr/libexec/gvfsd-network --spawner :1.13 /org/gtk/gvfs/exec_spaw/1
champus+  173750     952  0 21:58 ?        00:00:00 /usr/libexec/gvfsd-dnssd --spawner :1.13 /org/gtk/gvfs/exec_spaw/3
root      173777       2  0 21:59 ?        00:00:00 [kworker/0:0-events]
root      173818       2  0 22:05 ?        00:00:00 [kworker/u6:3-events_power_efficient]
root      173844       2  0 22:09 ?        00:00:00 [kworker/u5:0-events_power_efficient]
root      173908       2  0 22:11 ?        00:00:00 [kworker/0:1]
root      174070       2  0 22:16 ?        00:00:00 [kworker/u5:3-events_unbound]
root      174090       2  0 22:17 ?        00:00:00 [kworker/u6:2-events_unbound]
root      174097  172342  0 22:17 ?        00:00:00 sleep 45
root      174099  172341  0 22:18 ?        00:00:00 sleep 30
champus+  174101     626  0 22:18 ?        00:00:00 /usr/libexec/tracker-extract-3
root      174106  173366  0 22:18 pts/3    00:00:00 sudo bash huntscriptdirty.sh
root      174107  174106  0 22:18 pts/1    00:00:00 sudo bash huntscriptdirty.sh
root      174108  174107  0 22:18 pts/1    00:00:00 bash huntscriptdirty.sh
root      174110  174108  0 22:18 pts/1    00:00:00 ps -ef
